eventKey,kind,count,eventTypes,scenes,first_ts,last_ts,example_id,example_src
DialogueNodeEvent:18:71,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:13.2730000Z,2026-09-05T21:41:13.2730000Z,6a9c8c79485cab4c95400866,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:72,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:16.1410000Z,2026-09-05T21:41:16.1410000Z,6a9c8c7b485cab4c9540086e,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:75,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:18.7100000Z,2026-09-05T21:41:18.7100000Z,6a9c8c7e485cab4c95400874,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:76,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:19.0100000Z,2026-09-05T21:41:19.0100000Z,6a9c8c7e485cab4c95400876,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:77,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:19.3430000Z,2026-09-05T21:41:19.3430000Z,6a9c8c7f485cab4c95400878,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:79,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:19.7430000Z,2026-09-05T21:41:19.7430000Z,6a9c8c7f485cab4c9540087a,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:8,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:36:35.0930000Z,2026-09-05T21:36:35.0930000Z,6a9c8b62485cab4c954001ea,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:80,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:21.1770000Z,2026-09-05T21:41:21.1770000Z,6a9c8c80485cab4c9540087c,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:82,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:21.8440000Z,2026-09-05T21:41:21.8440000Z,6a9c8c81485cab4c9540087e,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:87,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:23.8450000Z,2026-09-05T21:41:23.8450000Z,6a9c8c83485cab4c95400882,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:89,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:24.8140000Z,2026-09-05T21:41:24.8140000Z,6a9c8c84485cab4c95400884,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:91,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:43.9200000Z,2026-09-05T21:41:43.9200000Z,6a9c8c97485cab4c9540088c,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:92,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:44.9180000Z,2026-09-05T21:41:44.9180000Z,6a9c8c98485cab4c95400890,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:93,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:46.4180000Z,2026-09-05T21:41:46.4180000Z,6a9c8c9a485cab4c95400892,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:95,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:47.1850000Z,2026-09-05T21:41:47.1850000Z,6a9c8c9a485cab4c95400894,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:98,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:47.5190000Z,2026-09-05T21:41:47.5190000Z,6a9c8c9b485cab4c95400896,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:19:0,dialogue,2,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:42:31.4750000Z,2026-09-05T22:05:50.9300000Z,6a9c8cc7485cab4c954008b6,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:19:1,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:42:31.4770000Z,2026-09-05T21:42:31.4770000Z,6a9c8cc7485cab4c954008ba,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:19:16,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:05:50.9330000Z,2026-09-05T22:05:50.9330000Z,6a9c923e485cab4c954019cc,wenyi090326-3.stratalog.logdata.json
